messid,bsid,did,nseq,rssi,time_ux,bs_lat,bs_lng,lat,lng
582ae1d712f1434b9ccad421,2189,473288.0,1.0,-127.0,1479205335000.0,39.8176539435,-105.050983775,39.7749836386,-105.039439663
582bde7bcf554f7e3a1a7720,3848,473288.0,1.0,-128.66666666700002,1479270011000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582bde7bcf554f7e3a1a7720,3501,473288.0,1.5,-136.0,1479270011000.0,43.6392263836,-103.761022615,39.7745414235,-105.03933905299999
582bde7bcf554f7e3a1a7720,2803,473288.0,1.5,-139.5,1479270011000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582bde7bcf554f7e3a1a7720,2800,473288.0,1.5,-138.0,1479270011000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582bd926e541cd03e7b48c36,3933,473288.0,2.0,-132.0,1479268646000.0,43.671527798999996,-103.81582215799999,39.7745414235,-105.03933905299999
582bd926e541cd03e7b48c36,3848,473288.0,1.0,-128.0,1479268646000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582bd926e541cd03e7b48c36,3501,473288.0,1.0,-136.0,1479268646000.0,43.6392263836,-103.761022615,39.7745414235,-105.03933905299999
582bd926e541cd03e7b48c36,2803,473288.0,0.0,-135.0,1479268646000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582bd926e541cd03e7b48c36,2800,473288.0,0.0,-137.0,1479268646000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582bd3d7cf554f7e3a13db7b,3933,473288.0,2.0,-139.0,1479267287000.0,43.671527798999996,-103.81582215799999,39.7745414235,-105.03933905299999
582bd3d7cf554f7e3a13db7b,3848,473288.0,2.0,-126.0,1479267287000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582bd3d7cf554f7e3a13db7b,3501,473288.0,1.0,-136.0,1479267287000.0,43.6392263836,-103.761022615,39.7745414235,-105.03933905299999
582bd3d7cf554f7e3a13db7b,2803,473288.0,2.0,-135.0,1479267287000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582bd3d7cf554f7e3a13db7b,2800,473288.0,1.0,-138.0,1479267287000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582bce8312f1434b9c7cffd3,3848,473288.0,1.0,-129.0,1479265923000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582bce8312f1434b9c7cffd3,2803,473288.0,1.0,-135.5,1479265923000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582bce8312f1434b9c7cffd3,2800,473288.0,1.0,-139.0,1479265923000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582bde7bcf554f7e3a1a7720,3933,473288.0,0.5,-133.0,1479270011000.0,43.671527798999996,-103.81582215799999,39.7745414235,-105.03933905299999
582be3cbe541cd03e7bb3984,2800,473288.0,2.0,-138.0,1479271371000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582be3cbe541cd03e7bb3984,2803,473288.0,0.5,-136.0,1479271371000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582be3cbe541cd03e7bb3984,3848,473288.0,1.0,-127.0,1479271371000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582bf910cf554f7e3a2c03c3,1443,473288.0,2.0,-142.0,1479276816000.0,43.7257540271,-103.671045026,39.7745414235,-105.03933905299999
582bf3bd12f1434b9c9468ba,3933,473288.0,2.0,-132.0,1479275453000.0,43.671527798999996,-103.81582215799999,39.7745414235,-105.03933905299999
582bf3bd12f1434b9c9468ba,3848,473288.0,0.5,-122.0,1479275453000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582bf3bd12f1434b9c9468ba,3630,473288.0,1.0,-132.0,1479275453000.0,43.65747981729999,-103.79040138200001,39.7745414235,-105.03933905299999
582bf3bd12f1434b9c9468ba,2808,473288.0,2.0,-137.0,1479275453000.0,43.5992297025,-103.712387955,39.7745414235,-105.03933905299999
582bf3bd12f1434b9c9468ba,2803,473288.0,0.5,-137.0,1479275453000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582bf3bd12f1434b9c9468ba,2800,473288.0,1.0,-138.0,1479275453000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582bf116cf554f7e3a264ae2,4013,473288.0,2.0,-135.0,1479274774000.0,43.651402785500004,-103.74526797899999,39.7745414235,-105.03933905299999
582bc93012f1434b9c79c72b,3933,473288.0,0.5,-134.0,1479264560000.0,43.671527798999996,-103.81582215799999,39.7745414235,-105.03933905299999
582bf116cf554f7e3a264ae2,3933,473288.0,0.0,-133.0,1479274774000.0,43.671527798999996,-103.81582215799999,39.7745414235,-105.03933905299999
582bf116cf554f7e3a264ae2,3630,473288.0,0.5,-132.0,1479274774000.0,43.65747981729999,-103.79040138200001,39.7745414235,-105.03933905299999
582bf116cf554f7e3a264ae2,2803,473288.0,1.5,-137.5,1479274774000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582bee70e541cd03e7c20ad1,3848,473288.0,0.5,-127.0,1479274096000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582bee70e541cd03e7c20ad1,2803,473288.0,0.5,-135.5,1479274096000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582bee70e541cd03e7c20ad1,2800,473288.0,0.0,-143.0,1479274096000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582be91d12f1434b9c8dab9a,3848,473288.0,1.0,-128.0,1479272733000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582be91d12f1434b9c8dab9a,2803,473288.0,1.5,-135.0,1479272733000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582be3cbe541cd03e7bb3984,3933,473288.0,2.0,-133.0,1479271371000.0,43.671527798999996,-103.81582215799999,39.7745414235,-105.03933905299999
582bf116cf554f7e3a264ae2,3848,473288.0,1.0,-124.0,1479274774000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582bf910cf554f7e3a2c03c3,2800,473288.0,1.0,-136.0,1479276816000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582bc93012f1434b9c79c72b,3848,473288.0,1.0,-129.0,1479264560000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582bc93012f1434b9c79c72b,2800,473288.0,1.0,-139.0,1479264560000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582b9e9ccf554f7e3af27a1d,2803,473288.0,0.5,-135.0,1479253660000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582b9949cf554f7e3aef2432,3933,473288.0,2.0,-133.0,1479252297000.0,43.671527798999996,-103.81582215799999,39.7745414235,-105.03933905299999
582b9949cf554f7e3aef2432,2803,473288.0,1.0,-135.66666666700002,1479252297000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582b93f6e541cd03e7891a60,3933,473288.0,2.0,-133.0,1479250934000.0,43.671527798999996,-103.81582215799999,39.7745414235,-105.03933905299999
582b93f6e541cd03e7891a60,3501,473288.0,0.0,-137.0,1479250934000.0,43.6392263836,-103.761022615,39.7745414235,-105.03933905299999
582b93f6e541cd03e7891a60,2803,473288.0,1.5,-136.5,1479250934000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582b93f6e541cd03e7891a60,2800,473288.0,1.0,-137.0,1479250934000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582b8ea412f1434b9c551338,3501,473288.0,1.5,-137.0,1479249572000.0,43.6392263836,-103.761022615,39.7745414235,-105.03933905299999
582b8ea412f1434b9c551338,2803,473288.0,0.0,-135.0,1479249572000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582b895112f1434b9c51a8fa,3933,473288.0,0.5,-134.5,1479248209000.0,43.671527798999996,-103.81582215799999,39.7745414235,-105.03933905299999
582b895112f1434b9c51a8fa,3848,473288.0,1.0,-130.0,1479248209000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582b895112f1434b9c51a8fa,3501,473288.0,2.0,-138.0,1479248209000.0,43.6392263836,-103.761022615,39.7745414235,-105.03933905299999
582b895112f1434b9c51a8fa,2803,473288.0,2.0,-135.0,1479248209000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582b895112f1434b9c51a8fa,2800,473288.0,1.0,-138.0,1479248209000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582b86aacf554f7e3ae33348,3848,473288.0,1.5,-122.5,1479247530000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582b86aacf554f7e3ae33348,3630,473288.0,0.0,-134.0,1479247530000.0,43.65747981729999,-103.79040138200001,39.7745414235,-105.03933905299999
582b86aacf554f7e3ae33348,2803,473288.0,1.5,-135.0,1479247530000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582b9e9ccf554f7e3af27a1d,3848,473288.0,1.0,-130.0,1479253660000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582ba3f212f1434b9c62b69c,2800,473288.0,1.0,-138.0,1479255026000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582ba3f212f1434b9c62b69c,2803,473288.0,1.0,-135.0,1479255026000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582ba3f212f1434b9c62b69c,2808,473288.0,1.0,-137.0,1479255026000.0,43.5992297025,-103.712387955,39.7745414235,-105.03933905299999
582bc3decf554f7e3a09f0d3,3933,473288.0,1.0,-133.0,1479263198000.0,43.671527798999996,-103.81582215799999,39.7745414235,-105.03933905299999
582bc3decf554f7e3a09f0d3,2803,473288.0,0.0,-135.0,1479263198000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582bc3decf554f7e3a09f0d3,2800,473288.0,1.5,-138.0,1479263198000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582bbe8be541cd03e7a4601e,2803,473288.0,1.0,-137.0,1479261835000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582bb93812f1434b9c7003cb,3933,473288.0,0.5,-135.0,1479260472000.0,43.671527798999996,-103.81582215799999,39.7745414235,-105.03933905299999
582bb93812f1434b9c7003cb,3848,473288.0,0.0,-128.0,1479260472000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582bb93812f1434b9c7003cb,2803,473288.0,1.0,-136.5,1479260472000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582bb93812f1434b9c7003cb,2800,473288.0,0.0,-138.0,1479260472000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
582bc93012f1434b9c79c72b,2803,473288.0,0.0,-135.0,1479264560000.0,43.6570772401,-103.75689001200001,39.7745414235,-105.03933905299999
582bb3e6e541cd03e79dcbe2,3848,473288.0,1.0,-128.33333333299998,1479259110000.0,43.6141384165,-103.72344947299999,39.7745414235,-105.03933905299999
582bb3e6e541cd03e79dcbe2,2800,473288.0,1.0,-139.0,1479259110000.0,43.6315152891,-103.765896175,39.7745414235,-105.03933905299999
